lulc-class,code,is_coastal_blue_carbon_habitat,biomass-initial,soil-initial,litter-initial,biomass-half-life,biomass-low-impact-disturb,biomass-med-impact-disturb,biomass-high-impact-disturb,biomass-yearly-accumulation,soil-half-life,soil-low-impact-disturb,soil-med-impact-disturb,soil-high-impact-disturb,soil-yearly-accumulation,litter-yearly-accumulation
Unnamed1,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Developed Dry Land,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Undeveloped Dry Land,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nontidal Swamp,3,FALSE,30,244,0,0,0,0,0,0,0,0,0,0,0,0
Cypress Swamp,4,FALSE,66,244,0,0,0,0,0,0,0,0,0,0,0,0
Inland Fresh Marsh,5,TRUE,30,269,0,0.5,0.5,0.5,1,0.5,7.5,0.3,1,1,10.21,0
Tidal Fresh Marsh,6,TRUE,30,269,0,0.5,0.5,0.5,1,0.5,7.5,0.3,1,1,10.21,0
Transitional Salt Marsh,7,TRUE,30,100,0,0.5,0.5,0.5,1,0.5,7.5,0.3,1,1,10.21,0
Regularly Flooded Marsh,8,TRUE,30,222,0,0.5,0.5,0.5,1,0.5,7.5,0.3,1,1,10.21,0
Mangrove,9,TRUE,64,313,0,15,0.5,0.5,1,2,7.5,0.3,0.5,0.66,5.35,0
Estuarine Beach,10,FALSE,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Tidal Flat,11,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocean Beach,12,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unnamed2,13,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rocky Intertidal,14,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inland Open Water,15,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riverine Tidal Open Water,16,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estuarine Water,17,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unnamed3,18,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Ocean,19,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irregularly flooded marsh,20,TRUE,30,115,0,0.5,0.5,0.5,1,0.5,7.5,0.3,1,1,10.21,0
Unnamed4,21,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inland Shore,22,FALSE,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Tidal Swamp,23,FALSE,30,244,0,0,0,0,0,0,0,0,0,0,0,0