crop,Percentrefuse,Protein,Lipid,Energy,Ca,Fe,Mg,Ph,K,Na,Zn,Cu,Fl,Mn,Se,VitA,betaC,alphaC,VitE,Crypto,Lycopene,Lutein,betaT,gammaT,deltaT,VitC,Thiamin,Riboflavin,Niacin,Pantothenic,VitB6,Folate,VitB12,VitK
almond,60,21.22,49.42,2408,264,3.72,268,484,705,1,3.08,0.996,0,2.285,2.5,1,1,0,26.22,0,0,1,0.29,0.65,0.05,0,0.211,1.014,3.385,0.469,0.143,50,0,0
aniseetc,0,17.6,15.9,337,646,36.96,170,440,1441,16,5.3,0.91,0,2.3,5,311,0,0,0,0,0,0,0,0,0,21,0.34,0.29,3.06,0.797,0.65,10,0,0
apple,10,0.26,0.17,218,6,0.12,5,11,107,1,0.04,0.027,3.3,0.035,0,54,27,0,0.18,11,0,29,0,0,0,4.6,0.017,0.026,0.091,0.061,0.041,3,0,2.2
apricot,7,1.4,0.39,201,13,0.39,10,23,259,1,0.2,0.078,0,0.077,0.1,1926,1094,19,0.89,104,0,89,0,0,0,10,0.03,0.04,0.6,0.24,0.054,9,0,3.3
artichoke,60,3.27,0.15,47,44,1.28,60,90,370,94,0.49,0.231,0,0.256,0.2,13,8,0,0.19,0,0,464,0,0,0,11.7,0.072,0.066,1.046,0.338,0.116,68,0,14.8
asparagus,47,2.2,0.12,20,24,2.14,14,52,202,2,0.54,0.189,0,0.158,2.3,756,449,9,1.13,0,0,710,0,0.09,0,5.6,0.143,0.141,0.978,0.274,0.091,52,0,41.6
avocado,33,1.96,15.41,697,13,0.61,29,54,507,8,0.68,0.17,0,0.149,0.4,147,63,24,1.97,27,0,271,0.04,0.32,0.02,8.8,0.075,0.143,1.912,1.463,0.287,89,0,21
banana,36,1.09,0.33,89,5,0.26,27,22,358,1,0.15,0.078,2.2,0.27,1,64,26,25,0.1,0,0,22,0,0.02,0.01,8.7,0.031,0.073,0.665,0.334,0.367,20,0,0.5
barley,0,9.91,1.16,1473,29,2.5,79,221,280,9,2.13,0.42,0,1.322,37.7,22,13,0,0.02,0,0,160,0,0,0,0,0.191,0.114,4.604,0.282,0.26,23,0,2.2
bean,0,22.343,1.223,1412,147,6.045,168.75,403.25,1365.25,12,3.1,0.868,0,1.231,7.575,0,0,0,0.168,0,0,0,0,2.01,0.17,3.267,0.714,0.203,2.04,0.88,0.39,421,0,8.275
berrynes,4,1.295,0.57,200.5,27,0.645,21,25.5,156.5,1,0.46,0.145,0,0.635,0.3,123.5,70,8,1.02,0,0,127,0.05,1.38,0.97,23.6,0.016,0.019,0.599,0.315,0.028,23,0,13.8
blueberry,2,0.74,0.33,240,6,0.28,6,12,77,1,0.16,0.057,0,0.336,0.1,54,32,0,0.57,0,0,80,0.01,0.36,0.03,9.7,0.037,0.041,0.418,0.124,0.052,6,0,19.3
brazil,49,14.32,66.43,2743,160,2.43,376,725,659,3,4.06,1.743,0,1.223,1917,0,0,0,5.73,0,0,0,0,7.87,0.77,0.7,0.617,0.035,0.295,0.184,0.101,22,0,0
broadbean,0,26.12,1.53,1425,103,6.7,192,421,1062,13,3.14,0.824,0,1.626,8.2,53,32,0,0.05,0,0,0,0,0,0,1.4,0.555,0.333,2.832,0.976,0.366,423,0,9
buckwheat,0,13.25,3.4,1435,18,2.2,231,347,460,1,2.4,1.1,0,1.3,8.3,0,0,0,0,0,0,0,0,0,0,0,0.101,0.425,7.02,1.233,0.21,30,0,0
cabbage,20,1.21,0.18,24,47,0.56,15,23,246,18,0.18,0.023,0,0.159,0.9,126,0,0,0,0,0,0,0,0,0,51,0.05,0.03,0.3,0.14,0.095,57,0,0
carob,0,8.15,31.36,540,303,1.29,36,126,633,107,3.53,0.183,0,0.14,5.2,10,5,0,1.57,0,0,0,0,0,0,0.5,0.1,0.178,1.04,0.75,0.13,21,0.28,7.7
carrot,11,0.93,0.24,173,33,0.3,12,35,320,69,0.24,0.045,0,0.143,0.1,16811,8285,3477,0.66,125,1,256,0.01,0,0,5.9,0.066,0.058,0.983,0.273,0.138,19,0,13.2
cashew,0,18.22,43.85,2314,37,6.68,292,593,660,12,5.78,2.195,0,1.655,19.9,0,0,0,0.9,0,0,22,0.03,5.31,0.36,0.5,0.423,0.058,1.062,0.864,0.417,25,0,34.1
cassava,0,1.36,0.28,160,16,0.27,21,27,271,14,0.34,0.1,0,0.384,0.7,13,8,0,0.19,0,0,0,0,0,0,20.6,0.087,0.048,0.854,0.107,0.088,27,0,1.9
cauliflower,39,2.95,0.3,31,33,0.73,20,62,300,23,0.64,0.041,0,0.247,0.6,155,93,0,0.04,0,0,42,0,0,0,88.1,0.08,0.102,0.734,0.696,0.222,57,0,20.2
cherry,8,1.06,0.2,263,13,0.36,11,21,222,0,0.07,0.06,2,0.07,0,64,38,0,0.07,0,0,85,0.01,0.04,0,7,0.027,0.033,0.154,0.199,0.049,4,0,2.1
chestnut,16,4.2,1.11,937,18,1.41,84,96,447,3,0.87,0.363,0,1.601,0,202,0,0,0,0,0,0,0,0,0,36,0.16,0.18,0.8,0.555,0.41,68,0,0
chickpea,0,19.3,6.04,1525,105,6.24,115,366,875,24,3.43,0.847,0,2.204,8.2,67,40,0,0.82,0,0,0,0,0,0,4,0.477,0.212,1.541,1.588,0.535,557,0,9
chicory,18,1.7,0.3,23,100,0.9,30,47,420,45,0.42,0.295,0,0.429,0.3,5717,3430,0,2.26,0,0,10300,0,0,0,24,0.06,0.1,0.5,1.159,0.105,110,0,297.6
chilleetc,27,2,0.2,167,18,1.2,25,46,340,7,0.3,0.174,0,0.237,0.5,1179,671,23,0.69,50,0,725,0,0,0,242.5,0.09,0.09,0.05,0.061,0.278,23,0,14.3
cinnamon,0,3.99,1.24,247,1002,8.32,60,64,431,10,1.83,0.339,0,17.466,3.1,295,112,1,2.32,129,15,222,0,10.44,0.26,3.8,0.022,0.041,1.332,0.358,0.158,6,0,31.2
clove,0,5.97,13,274,632,11.83,259,104,1020,277,2.32,0.368,0,60.127,7.2,160,45,0,8.82,103,0,0,0,0,0,0.2,0.158,0.22,1.56,0.509,0.391,25,0,141.8
cocoa,0,0,100,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7
coconut,48,3.33,33.49,1481,14,2.43,32,113,356,20,1.1,0.435,0,1.5,10.1,0,0,0,0.24,0,0,0,0,0.53,0,3.3,0.066,0.02,0.54,0.3,0.054,26,0,0.2
coffee,0,0.12,0.02,1,2,0.01,3,3,49,2,0.02,0.002,90.7,0.023,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0.014,0.076,0.191,0.254,0.001,2,0,0.1
cowpea,0,23.52,1.26,1406,110,8.27,184,424,1112,16,3.37,0.845,0,1.528,9,50,30,0,0.39,0,0,0,0,0,0,1.5,0.853,0.226,2.075,1.496,0.357,633,0,5
cranberry,2,0.39,0.13,194,8,0.25,6,13,85,2,0.1,0.061,0,0.36,0.1,60,36,0,1.2,0,0,91,0,0.04,0,13.3,0.012,0.02,0.101,0.295,0.057,1,0,5.1
cucumberetc,3,0.65,0.11,65,16,0.28,13,24,147,2,0.2,0.041,1.3,0.079,0.3,105,45,11,0.03,26,0,23,0.01,0.03,0,2.8,0.027,0.033,0.098,0.259,0.04,7,0,16.4
currant,2,1.4,0.305,249,44,1.27,18.5,51.5,298.5,1.5,0.25,0.097,0,0.221,0.3,136,12.5,0,0.55,0,0,23.5,0,0,0,111,0.045,0.05,0.2,0.231,0.068,4,0,5.5
date,10,1.81,0.15,1160,64,0.9,54,62,696,1,0.44,0.362,0,0.296,0,149,89,0,0,0,0,23,0,0,0,0,0.05,0.06,1.61,0.805,0.249,15,0,2.7
eggplant,19,1.01,0.19,102,9,0.24,14,25,230,2,0.16,0.082,0,0.25,0.3,27,16,0,0.3,0,0,0,0,0,0,2.2,0.039,0.037,0.649,0.281,0.084,22,0,3.5
fig,1,0.75,0.3,310,35,0.37,17,14,232,1,0.15,0.07,0,0.128,0.2,142,85,0,0.11,0,0,9,0,0,0,2,0.06,0.05,0.4,0.3,0.113,6,0,4.7
fruitnes,29.625,1.151,0.473,382.333,44.556,0.814,34.889,40.556,291.778,6.444,0.132,0.098,0,0.285,0.686,817,478.6,6.2,1.653,97.2,1700,500.25,0.05,1.34,0.14,256.533,0.077,0.145,0.73,0.346,0.161,13.625,0,11.375
garlic,13,6.36,0.5,149,181,1.7,25,153,401,17,1.16,0.299,0,1.672,14.2,9,5,0,0.08,0,0,16,0,0,0,31.2,0.2,0.11,0.7,0.596,1.235,3,0,1.7
ginger,7,1.82,0.75,80,16,0.6,43,34,415,13,0.34,0.226,0,0.229,0.7,0,0,0,0.26,0,0,0,0,0,0,5,0.025,0.034,0.75,0.203,0.16,11,0,0.1
gooseberry,0,0.88,0.58,44,25,0.31,10,27,198,1,0.12,0.07,0,0.144,0.6,290,0,0,0.37,0,0,0,0,0,0,27.7,0.04,0.03,0.3,0.286,0.08,6,0,0
grape,4,0.72,0.16,288,10,0.36,7,20,191,2,0.07,0.127,7.8,0.071,0.1,66,39,1,0.19,0,0,72,0,0.07,0,10.8,0.069,0.07,0.188,0.05,0.086,2,0,14.6
grapefruitetc,55,0.645,0.1,146.5,12,0.06,9,8,148,0,0.07,0.05,0,0.013,1.4,33,14,8,0.13,3,0,10,0,0,0,33.3,0.037,0.02,0.269,0.283,0.043,10,0,0
greenbroadbean,0,7.6,0.4,110,36,1.5,43,125,268,5,1.01,0.259,9999,0.421,2.6,15,9,0,0.02,0,0,0,9999,9999,9999,0.3,0.097,0.089,0.711,0.157,0.072,104,0,2.9
greencorn,64,3.22,1.18,359,2,0.52,37,89,270,15,0.45,0.054,0,0.161,0.6,104.5,26.5,9,0.07,63.5,0,399,0,0.15,0,6.8,0.2,0.06,1.7,0.76,0.055,46,0,0.3
greenonion,10,1.1,0.1,40,23,0.21,10,29,146,4,0.17,0.039,1.1,0.129,0.5,2,1,0,0.02,0,0,4,0,0,0,7.4,0.046,0.027,0.116,0.123,0.12,19,0,0.4
greenpea,62,5.42,0.4,339,25,1.47,33,108,244,5,1.24,0.176,0,0.41,1.8,765,449,21,0.13,0,0,2477,0,0.95,0.02,40,0.266,0.132,0.09,0.104,0.169,65,0,24.8
groundnut,0,25.8,49.24,2374,92,4.58,168,376,705,18,3.27,1.144,0,1.934,7.2,0,0,0,8.33,0,0,0,0,0,0,0,0.64,0.135,12.066,1.767,0.348,240,0,0
hazelnut,54,14.95,60.75,2629,114,4.7,163,290,680,0,2.45,1.725,0,6.175,2.4,20,11,3,15.03,0,0,92,0.33,0,0,6.3,0.643,0.113,1.8,0.918,0.563,113,0,14.2
karite,0,0,100,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kiwi,14,1.14,0.52,255,34,0.31,17,34,312,3,0.14,0.13,0,0.098,0.2,87,52,0,1.46,0,0,122,0,0.03,0,92.7,0.027,0.023,0.341,0.183,0.063,25,0,40.3
lemonlime,31.5,0.9,0.25,123.5,29.5,0.6,7,17,120,2,0.085,0.344,0,0.019,0.4,36,16.5,0.5,0.22,10,0,5.5,0,0,0,41.05,0.035,0.02,0.15,0.204,0.062,9.5,0,0.6
lentil,0,25.8,1.06,1477,56,7.54,122,451,955,6,4.78,0.519,0,1.33,8.3,39,23,0,0.49,0,0,0,0,4.23,0,4.4,0.873,0.211,2.605,2.14,0.54,479,0,5
lettuce,6,1.23,0.3,17,33,0.97,14,30,247,8,0.23,0.048,0,0.155,0.4,8710,5226,0,0.13,0,0,2312,0,0.36,0.01,4,0.072,0.067,0.313,0.142,0.074,136,0,102.5
lupin,0,36.17,9.74,371,176,4.36,198,440,1013,15,4.75,1.022,0,2.382,8.2,23,0,0,0,0,0,0,0,0,0,4.8,0.64,0.22,2.19,0.75,0.357,355,0,0
maize,0,9.42,4.74,1527,7,2.71,127,210,287,35,2.21,0.314,0,0.485,15.5,214,97,63,0.49,0,0,1355,0,0,0,0,0.385,0.201,3.627,0.424,0.622,19,0,0.3
mango,31,0.51,0.27,272,10,0.13,9,11,156,2,0.04,0.11,0,0.027,0.6,765,445,17,1.12,11,0,0,0,0,0,27.7,0.058,0.057,0.584,0.16,0.134,14,0,4.2
melonetc,49,0.84,0.19,141,9,0.21,12,15,267,16,0.18,0.041,1,0.041,0.4,3382,2020,16,0.05,1,0,26,0,0.11,0,36.7,0.041,0.019,0.734,0.105,0.072,21,0,2.5
melonseed,63,28.33,47.37,2330,54,7.28,515,755,648,99,10.24,0.686,0,1.614,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.145,3.55,0.346,0.089,58,0,0
millet,0,11.02,4.22,1582,8,3.01,114,285,195,5,1.68,0.75,0,1.632,2.7,0,0,0,0.05,0,0,0,0,0,0,0,0.421,0.29,4.72,0.848,0.384,85,0,0.9
mushroom,3,3.09,0.34,22,3,0.5,9,86,318,5,0.52,0.318,0,0.047,9.3,0,0,0,0.01,0,0,0,0.01,0.01,0.01,2.1,0.081,0.402,3.607,1.497,0.104,17,0.04,0
mustard,0,0,100,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nutmeg,0,7.77,25.13,437,273,10.30333333,191.6666667,167,644,38,3.973333333,1.292333333,0,10.8,2.15,300.6666667,28,0,0,66,0,0,0,0.53,0,15,0.285333333,0.229,1.250333333,0,0.183333333,3383.666667,0,0
nutnes,51.33333333,10.651,54.728,2424.111,52.667,2.852,144.778,288.889,533.889,6.333,2.656,0.777,10,3.745,6.68,108.667,23,0,3.757,4.5,0,13,0.13,11.863,0.157,4.378,0.558,0.163,2.134,0.732,0.332,54.111,0,28.7
oats,0,16.89,6.9,1628,54,4.72,177,523,429,2,3.97,0.626,0,4.916,0,0,0,0,0,0,0,0,0,0,0,0,0.763,0.139,0.961,1.349,0.119,56,0,0
oilpalm,0,2.2,81.9,3123,136.1,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.17,1.81,0,0,0,0,0
okra,14,2,0.1,129,81,0.8,57,63,303,8,0.6,0.094,0,0.99,0.7,375,225,0,0.36,0,0,516,0,0,0,21.1,0.2,0.06,1,0.245,0.215,88,0,53
olive,10,0.84,10.68,481,88,3.3,4,3,8,872,0.22,0.251,0,0.02,0.9,403,237,0,1.65,9,0,510,0,0,0,0.9,0.003,0,0.037,0.015,0.009,0,0,1.4
onion,10,8.95,0.46,349,257,1.55,92,303,1622,21,1.89,0.416,0,1.389,5,18,11,0,0.18,0,0,32,0,0,0,75,0.5,0.1,0.99,1.38,1.6,166,0,3.8
orange,27,0.94,0.12,197,40,0.1,10,14,181,0,0.07,0.045,0,0.025,0.5,225,71,11,0.18,116,0,129,0,0,0,53.2,0.087,0.04,0.282,0.25,0.06,30,0,0
papaya,33,0.61,0.14,163,24,0.1,10,5,257,3,0.07,0.016,0,0.011,0.6,1094,276,0,0.73,761,0,75,0,0,0,61.8,0.027,0.032,0.338,0.218,0.019,38,0,2.6
